"3","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","1","Googlebot","2.1","KHTML","Linux","Android","6.0.1","Nexus 5X Build/MMB29P",NULL
"4","Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)","1","SeznamBot","3.2","-","-","-","-","-",NULL
"5","Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)","1","MJ12bot","1.4.8","-","-","-","-","-",NULL
"6","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36","0","Google Chrome","78.0.3904.87","Blink","Macintosh","macOS (Catalina)","10.15.0","-",NULL
"7","Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)","1","AhrefsBot","6.1","-","-","-","-","-",NULL
"8","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","1","Googlebot","2.1","-","-","-","-","-",NULL
"9","serpstatbot/1.0 (advanced backlink tracking bot; curl/7.58.0; http://serpstatbot.com/; abuse@serpstatbot.com)","1","serpstatbot","1.0","-","-","-","-","-",NULL
"10","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)","1","bingbot","2.0","-","-","-","-","-",NULL
"11","Mozilla/5.0 (Windows NT x.y; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0","0","Mozilla Firefox","10.0","Gecko","Windows","Windows NT","4.0","-",NULL
"12","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36","0","Google Chrome","74.0.3729.131","Blink","Windows","Windows 10","10.0","-","1"
"13","Mozilla/5.0 (compatible; SemrushBot/6~bl; +http://www.semrush.com/bot.html)","1","SemrushBot","6","-","-","-","-","-",NULL
"14","Go-http-client/1.1","1","Go-http-client","1.1","-","-","-","-","-",NULL
"15","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36","0","Google Chrome","41.0.2228.0","Blink","Windows","Windows 7","NT 6.1","-",NULL
"17","Mozilla/5.0 (Windows NT 6.1; rv:5.0) Gecko/20100101 Firefox/5.02","0","Mozilla Firefox","5.02","Gecko","Windows","Windows 7","NT 6.1","-",NULL
"18","Mozilla/5.0 (Linux; U; Android 8.1.0; zh-CN; EML-AL00 Build/HUAWEIEML-AL00) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.108 baidu.sogo.uc.UCBrowser/11.9.4.974 UWS/2.13.1.48 Mobile Safari/537.36 AliApp(DingTalk/4.5.11) com.alibaba.a","0","UC Browser","11.9.4.974","WebKit","Android","Oreo","8.1.0","HUAWEIEML-AL00","1"
"21","Mozilla/5.0 (Windows NT 5.1; rv:5.0) Gecko/20100101 Firefox/5.0","0","Mozilla Firefox","5.0","Gecko","Windows","Windows XP","NT 5.1","-",NULL
"22","Mozilla/5.0 (compatible; SemrushBot-BA; +http://www.semrush.com/bot.html)","1","SemrushBot","-","-","-","-","-","-",NULL
"24","Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)","1","YandexBot","3.0","-","-","-","-","-",NULL
"25","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36","0","Google Chrome","78.0.3904.97","Blink","Windows","Windows 7","NT 6.1","-","1"
"26","Mozilla/5.0 (compatible; NetpeakCheckerBot/3.2; +https://netpeaksoftware.com/checker)","1","NetpeakCheckerBot","3.2","-","-","-","-","-",NULL
"27","Mozilla/5.0 (compatible; bnf.fr_bot; +https://www.bnf.fr/fr/capture-de-votre-site-web-par-le-robot-de-la-bnf)","1","BNF","-","-","-","-","-","-",NULL
"28","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.170 Safari/537.36 OPR/53.0.2907.106","0","Opera","53.0.2907.106","Blink","Windows","Windows 7","NT 6.1","-","1"
"29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36","0","Google Chrome","58.0.3029.110","Blink","Macintosh","macOS (Sierra)","10.12.5","-",NULL
"30","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2117.157 Safari/537.36","0","Google Chrome","35.0.2117.157","Blink","Windows","Windows XP","NT 5.1","-",NULL
"31","SEMrushBot","1","SemrushBot","-","-","-","-","-","-",NULL
"32","Mozilla/5.1 (Windows NT 6.0; WOW64) AppleWebKit/537.37 (KHTML, like Gecko) Chrome/58.0.1145.75 Safari/537.37","0","Google Chrome","58.0.1145.75","Blink","Windows","Windows Vista","NT 6.0","-",NULL
"33","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.71","0","Opera","54.0.2952.71","Blink","Windows","Windows 7","NT 6.1","-","1"
"34","Mozilla/5.0 (compatible; Qwantify/2.4w; +https://www.qwant.com/)/2.4w","1","Qwantify","2.4w","-","-","-","-","-",NULL
"35","Mozilla/5.0 (Android 8.0.0; Mobile; rv:68.0) Gecko/68.0 Firefox/68.0","0","Mozilla Firefox","68.0","Gecko","Android","Oreo","8.0.0",,NULL
"36","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.85 Safari/537.36","0","Google Chrome","40.0.2214.85","Blink","Windows","Windows 7","NT 6.1","-","1"
"37","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0","0","Mozilla Firefox","70.0","Gecko","Linux","Ubuntu","-","-","1"
"38","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:56.0) Gecko sape /20100101 Firefox/56.0","0","Mozilla Firefox","56.0","Gecko","Windows","Windows 8.1","NT 6.3","-","1"
"39","Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.18","0","Opera","12.18","Presto","Windows","Windows 7","NT 6.1","-",NULL
"40","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31","0","Google Chrome","26.0.1410.65","WebKit","Macintosh","macOS (Moutain Lion)","10.8.3","-",NULL
"41","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0","0","Mozilla Firefox","56.0","Gecko","Windows","Windows 7","NT 6.1","-","1"
"42","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:47.0) Gecko/20100101 Firefox/47.0","0","Mozilla Firefox","47.0","Gecko","Macintosh","macOS X (El Capitan)","10.11","-",NULL
"43","curl/7.29.0","1","curl","7.29.0","-","-","-","-","-",NULL
"44","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1","0","Mozilla Firefox","40.1","Gecko","Windows","Windows 7","NT 6.1","-",NULL
"45","Mozilla/5.0 (Windows; U; Windows NT 5.1; ru; rv:1.9.0.1) Gecko/2008070208","0","Netscape","5.0","Gecko","Windows","Windows XP","NT 5.1","-",NULL
"46","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.26 Safari/537.36 Core/1.63.5083.400 QQBrowser/10.0.972.400","1","Googlebot","2.1","-","-","-","-","-",NULL
"47","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36","0","Google Chrome","77.0.3865.90","Blink","Windows","Windows 7","NT 6.1","-","1"
"48","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.2490.71 Safari/537.36","0","Google Chrome","77.0.2490.71","Blink","Windows","Windows 10","NT 10.0","-",NULL
"49","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","0","Google Chrome","76.0.3809.132","WebKit","Linux","-","-","-","1"
"50","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 YaBrowser/19.4.0.2397 Yowser/2.5 Safari/537.36","0","Yandex Browser","19.4.0.2397","WebKit","Windows","Windows 7","NT 6.1","-",NULL
"51","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3588.0 Safari/537.36","0","Google Chrome","72.0.3588.0","Blink","Macintosh","macOS (Sierra)","10.12.6","-",NULL
"52","Mozilla/5.0 (X11; Linux x86_64; rv:67.0) Gecko/20100101 Firefox/67.0","0","Mozilla Firefox","67.0","Gecko","Linux","-","-","-","1"
"53","Scrapy/1.7.2 (+https://scrapy.org)","1","Scrapy","1.7.2","-","-","-","-","-",NULL
"54","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0","0","Mozilla Firefox","54.1","Gecko","Windows","Windows 7","NT 6.1","-",NULL
"55","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.71","0","Opera","54.0.2952.71","Blink","Windows","Windows 10","NT 10.0","-","1"
"56","Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0","0","Mozilla Firefox","60.0","Gecko","Linux","-","-","-","1"
"57","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0","0","Mozilla Firefox","62.0","Gecko","Linux","Ubuntu","-","-","1"
"58","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.0 Safari/537.36","0","Google Chrome","41.0.2227.0","Blink","Linux","-","-","-","1"
"59","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2226.0 Safari/537.36","0","Google Chrome","41.0.2226.0","Blink","Windows","Windows 8.1","NT 6.3","-",NULL
"60","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36","0","Google Chrome","41.0.2225.0","Blink","Windows","Windows 8.1","NT 6.3","-",NULL
"61","Mozilla/5.0 (compatible; DuckDuckGo-Favicons-Bot/1.0; +http://duckduckgo.com)","1","DuckDuckGo Favicons Bot","1.0","-","-","-","-","-",NULL
"62","Mozilla/5.0 (compatible; VelenPublicWebCrawler/1.0; +https://velen.io)","1","Velen Public Web Crawler","1.0","-","-","-","-","-",NULL
"63","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64 (Edition Yx)","0","Opera","54.0.2952.64","Blink","Windows","Windows 7","NT 6.1","-",NULL
"64","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36","0","Google Chrome","76.0.3809.100","Blink","Windows","Windows 10","NT 10.0","-","1"
"65","Mozilla/5.0 (compatible; Seekport Crawler; http://seekport.com/)","1","Seekport Crawler","-","-","-","-","-","-",NULL
"66","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:15.0) Gecko/20100101 Firefox/15.0.1","0","Mozilla Firefox","15.0.1","Gecko","Linux","Ubuntu","-","-","1"
